english,chinese,category
Vodka,伏特加,基酒
Gin,金酒,基酒
Rum,朗姆酒,基酒
Light Rum,白朗姆酒,基酒
Dark Rum,黑朗姆酒,基酒
Spiced Rum,香料朗姆酒,基酒
Tequila,龙舌兰,基酒
Whiskey,威士忌,基酒
Bourbon,波本威士忌,基酒
Scotch,苏格兰威士忌,基酒
Brandy,白兰地,基酒
Cognac,干邑,基酒
Absinthe,苦艾酒,基酒
Pisco,皮斯科,基酒
Mezcal,梅斯卡尔,基酒

Triple Sec,橙味利口酒,利口酒
Cointreau,君度橙酒,利口酒
Grand Marnier,大玛尼橙酒,利口酒
Baileys Irish Cream,百利甜,利口酒
Kahlua,咖啡利口酒,利口酒
Amaretto,杏仁利口酒,利口酒
Campari,金巴利,利口酒
Aperol,阿佩罗,利口酒
Frangelico,榛子利口酒,利口酒
Midori Melon Liqueur,蜜瓜利口酒,利口酒
Blue Curacao,蓝橙利口酒,利口酒
Peach Schnapps,桃子利口酒,利口酒

Lemon Juice,柠檬汁,果汁
Lime Juice,青柠汁,果汁
Orange Juice,橙汁,果汁
Pineapple Juice,菠萝汁,果汁
Cranberry Juice,蔓越莓汁,果汁
Grapefruit Juice,葡萄柚汁,果汁
Apple Juice,苹果汁,果汁
Tomato Juice,番茄汁,果汁
Mango Juice,芒果汁,果汁

Lemon,柠檬,水果
Lime,青柠,水果
Orange,橙子,水果
Strawberry,草莓,水果
Pineapple,菠萝,水果
Apple,苹果,水果
Banana,香蕉,水果
Coconut,椰子,水果
Mango,芒果,水果
Watermelon,西瓜,水果

Simple Syrup,糖浆,糖浆
Sugar Syrup,糖浆,糖浆
Honey,蜂蜜,糖浆
Grenadine,石榴糖浆,糖浆
Maple Syrup,枫糖浆,糖浆
Agave Syrup,龙舌兰糖浆,糖浆
Chocolate Syrup,巧克力糖浆,糖浆
Orgeat Syrup,杏仁糖浆,糖浆

Angostura Bitters,安格仕苦精,苦精
Orange Bitters,橙味苦精,苦精
Peychaud's Bitters,佩乔苦精,苦精

Soda Water,苏打水,调和饮料
Tonic Water,汤力水,调和饮料
Cola,可乐,调和饮料
Lemonade,柠檬汽水,调和饮料
Ginger Beer,姜汁啤酒,调和饮料
Ginger Ale,姜汁汽水,调和饮料
Sprite,雪碧,调和饮料
Club Soda,气泡水,调和饮料
Milk,牛奶,调和饮料
Cream,奶油,调和饮料
Coffee,咖啡,调和饮料
Tea,茶,调和饮料

Mint,薄荷,装饰
Cherry,樱桃,装饰
Cucumber,黄瓜,装饰
Lemon Peel,柠檬皮,装饰
Orange Peel,橙皮,装饰

Ice,冰块,其他
Water,水,其他
Egg,鸡蛋,其他
Egg White,蛋清,其他
Salt,盐,其他
Sugar,糖,其他
151 proof rum,151度朗姆酒,基酒
7-Up,七喜,调和饮料
Absolut Citron,绝对柠檬伏特加,基酒
Absolut Kurant,绝对黑加仑伏特加,基酒
Absolut Vodka,绝对伏特加,基酒
Advocaat,蛋黄利口酒,利口酒
Ale,艾尔啤酒,调和饮料
Añejo rum,陈年朗姆酒,基酒
Angelica root,当归根,其他
Apple brandy,苹果白兰地,基酒
Apple cider,苹果西打,调和饮料
Applejack,苹果白兰地酒,基酒
Apricot brandy,杏子白兰地,利口酒
Bacardi Limon,百加得柠檬朗姆,基酒
